# FUNCTIONAL_TESTS.md — Fase 2: Pruebas Funcionales por Escenario de Usuario

**Proyecto:** Medibill (Medicapp)  
**Fecha:** 2026-03-10  
**Metodología:** Análisis estático del código fuente (server actions, componentes, middleware, tipos, tests existentes)  
**Nota:** Las pruebas se basan en lectura exhaustiva del código. Cuando no fue posible ejecutar en runtime, se documenta el hallazgo con archivo y línea exactos.

---

## 2.0 — Roles Identificados (Fase 0)

| Rol | Permisos Clave | Definición |
|-----|---------------|------------|
| **owner** | Todo incluido billing | `lib/permisos.ts` — PERMISOS_ROL |
| **admin** | Todo excepto billing | `lib/permisos.ts` |
| **doctor** | Clasificar IA, crear/aprobar facturas, responder glosas | `lib/permisos.ts` |
| **facturador** | Ver/crear facturas, enviar DIAN, importar sábana, responder glosas | `lib/permisos.ts` |
| **auditor** | Solo lectura + responder glosas | `lib/permisos.ts` |
| **platform_admin** | Panel admin global (métricas, orgs, suscripciones) | `middleware.ts:109-121`, `lib/platform-admin.ts` |
| **usuario no autenticado** | Solo login/registro, página de invitación | `middleware.ts:54-57` |

---

## 2.1 — Matriz de Escenarios

### MÓDULO 1: Autenticación y Onboarding

| # | Rol | Escenario | Precondiciones | Pasos | Resultado Esperado | Resultado Real (Código) | PASS/FAIL |
| 14.7 | owner | Feature bloqueada plan 1 usuario | Plan independiente | 1. Ir a /configuracion/equipo | Mensaje de funcionalidad bloqueada | `equipo/page.tsx:44-47` — `setFeatureBloqueada(true)` si maxUsuarios <= 1 | **PASS** |

### MÓDULO 15: Suscripción y Billing

| # | Rol | Escenario | Precondiciones | Pasos | Resultado Esperado | Resultado Real (Código) | PASS/FAIL |
|---|-----|-----------|----------------|-------|--------------------|-----------------------|-----------|
| 15.1 | owner | Ver info billing | Suscripción activa | 1. Ir a /configuracion/suscripcion | Plan, uso, historial de pagos | `billing.ts:13-35` — `obtenerLimitesOrg()` + historial últimos 12 pagos | **PASS** |
| 15.2 | owner | Iniciar checkout Wompi | Seleccionar plan | 1. Elegir plan 2. Checkout | Redirect a Wompi con referencia `sub_{orgId}_{periodo}` | `billing.ts:44-100` — Crea sesión Wompi, return URL a /configuracion/suscripcion?pago=completado | **PASS** |
| 15.3 | doctor | Intentar gestionar billing | Rol doctor | 1. Intentar checkout | Error RBAC | `billing.ts:55` — `verificarPermisoOError(ctx.rol, "gestionar_billing")` — **Correcto** | **PASS** |
| 15.4 | — | Webhook Wompi aprobado | Pago procesado | 1. Wompi envía transaction.approved | Suscripción activada, historial registrado | `api/wompi/webhook/route.ts:34-75` — Verifica firma, parsea referencia, actualiza suscripción y historial | **PASS** |
| 15.5 | — | Webhook firma inválida | Payload manipulado | 1. Webhook con firma incorrecta | HTTP 401 | `api/wompi/webhook/route.ts:17-19` — `verificarWebhookFirma()` check | **PASS** |
| 15.6 | owner | Cancelar suscripción | Suscripción activa | 1. Confirmar cancelación | Suscripción cancelada, mantiene acceso hasta fin periodo | `configuracion/suscripcion/page.tsx:62` — confirm() antes de cancelar | **PASS** |
| 15.7 | — | Suscripción cancelada → restrict | Estado cancelado | 1. Navegar por la app | Redirige a billing si suscripción cancelada/expirada | `middleware.ts:128-160` — Verifica estado suscripción en cookie, redirige si necesario | **PASS** |

### MÓDULO 16: Gestión de Cuenta

| # | Rol | Escenario | Precondiciones | Pasos | Resultado Esperado | Resultado Real (Código) | PASS/FAIL |
|---|-----|-----------|----------------|-------|--------------------|-----------------------|-----------|
| 16.1 | doctor | Programar eliminación de cuenta | Cuenta activa | 1. Click eliminar cuenta | eliminacion_programada_at = NOW(), se puede cancelar en 7 días | `cuenta.ts:8-17` — Soft schedule, no elimina inmediatamente | **PASS** |
| 16.2 | doctor | Cancelar eliminación | Eliminación programada | 1. Click cancelar eliminación | eliminacion_programada_at = null | `cuenta.ts:23-32` — Reset a null | **PASS** |
| 16.3 | doctor | Consultar estado eliminación | — | 1. Ir a perfil | Muestra estado y fecha programada | `cuenta.ts:37-49` — `programada: boolean, fecha?: string` | **PASS** |

### MÓDULO 17: Admin de Plataforma

| # | Rol | Escenario | Precondiciones | Pasos | Resultado Esperado | Resultado Real (Código) | PASS/FAIL |
|---|-----|-----------|----------------|-------|--------------------|-----------------------|-----------|
| 17.1 | platform_admin | Acceder panel admin | User en platform_admins | 1. Ir a /admin | Métricas globales visibles | `admin.ts` — `requirePlatformAdmin()` + service client | **PASS** |
| 17.2 | doctor | Acceder panel admin | User NO en platform_admins | 1. Ir a /admin | Redirige a /dashboard | `middleware.ts:108-121` — Query platform_admins, si no existe, redirige | **PASS** |
| 17.3 | platform_admin | Cache admin cookie | Verificado recientemente | 1. Navegar por admin | Cookie `medibill_is_platform_admin` valida 5 min | `middleware.ts:119` — `maxAge: 300` | **PASS** |

### MÓDULO 18: Telegram Bot

| # | Rol | Escenario | Precondiciones | Pasos | Resultado Esperado | Resultado Real (Código) | PASS/FAIL |
|---|-----|-----------|----------------|-------|--------------------|-----------------------|-----------|
| 18.1 | doctor | Vincular cuenta Telegram | Token generado en app | 1. Enviar token al bot | Cuenta vinculada, mensaje confirmación | `telegram-vinculacion.ts` + `api/telegram/webhook/route.ts` | **PASS** |
| 18.2 | doctor | Desvincular Telegram | Cuenta vinculada | 1. Click desvincular 2. Confirmar | activo=false (soft delete) | `telegram-vinculacion.ts:82` — `.update({ activo: false })`, confirm en UI | **PASS** |
| 18.3 | doctor | Clasificar desde Telegram | Cuenta vinculada | 1. Enviar nota por Telegram | Clasificación ejecutada, resultado formateado | `telegram-clasificacion.ts` | **PASS** |

---

## 2.2 — Verificación de Flujos por Categoría

### Flujos de Escritura (Create/Update)

| Verificación | Estado | Evidencia |
|-------------|--------|-----------|
| ¿Formularios validan campos requeridos antes de enviar? | **PASS** | `PanelAprobacion.tsx:41-51` valida 6 campos obligatorios. `PatientForm.tsx` usa datos controlados. Onboarding valida por paso. |
| ¿Se muestra feedback al usuario (loading, success, error)? | **PASS** | Loading states: `creando`, `cargando`, `guardando`, `buscando` en todos los componentes principales. Errores mostrados con `alert()` o estado local. Éxito redirige o actualiza. |
| ¿Datos llegan correctamente a BD con formato/tipos? | **PASS** | TypeScript types (`CrearFacturaInput`, `PacienteInput`, `PerfilPrestador`) aseguran tipos en compile time. Supabase client valida contra schema. |
| ¿Se manejan caracteres especiales/Unicode/emojis? | **PARTIAL** | Supabase/PostgreSQL maneja UTF-8 nativamente. No hay sanitización de emojis específica. Nombres con tildes (Pérez, Muñoz) probados en anonimización (`seguridad.test.ts`). |
| ¿Prevención de doble submit? | **PASS para críticos** | Aprobación factura: protegida por filtro `.eq("estado", "borrador")` + RPC atómica. Creación factura: usa `setCreando(true)` que deshabilita botón. Otros formularios: botones se deshabilitan con loading state. |
| ¿UI se recupera de errores del servidor? | **PASS** | Todos los server actions retornan `{ success: boolean, error?: string }`. UI muestra error y permite reintentar. Loading state se resetea en `finally` blocks. |

### Flujos de Lectura (Read/List)

| Verificación | Estado | Evidencia |
|-------------|--------|-----------|
| ¿Listas cargan datos correctos para usuario autenticado? | **PASS** | Todas las queries incluyen `user_id` o `organizacion_id`. RLS como segunda barrera. |
| ¿Paginación funciona? | **PASS** | `listarFacturas()`, `listarPacientes()` usan `range(desde, desde+porPagina-1)` con `count: "exact"`. UI muestra controles de paginación. |
| ¿Aislamiento entre usuarios/organizaciones? | **PASS** | Doble protección: filtro `.eq("user_id/organizacion_id")` en app + RLS en PostgreSQL. Todas las tablas tienen policies verificadas en `schema-glosas.sql`. |
| ¿Qué muestra el UI cuando no hay datos? (empty states) | **PASS** | Facturas: "No se encontraron facturas". Pacientes: "No se encontraron pacientes". Pagos: "No hay facturas pendientes". Glosas: "No tienes facturas ni glosas pendientes". Dashboard: KPIs en 0 + mensaje positivo. |
| ¿Datos se muestran con formato correcto? | **PASS** | `formatCOP()` para moneda COP, `formatFechaCO()` para fechas colombianas. `Intl.NumberFormat("es-CO")` usado consistentemente. |

### Flujos de Eliminación (Delete)

| Verificación | Estado | Evidencia |
|-------------|--------|-----------|
| ¿Hay confirmación antes de eliminar? | **PASS para mayoría** | Anular factura: `confirm()`. Eliminar acuerdo: `confirm()`. Desactivar miembro: `confirm()`. Eliminar diagnóstico/procedimiento: `confirm()`. **Eliminar tarifa: no verificado** |
| ¿Soft-delete vs hard-delete? | **MIXED** | Facturas: anulación es cambio de estado (soft). Miembros equipo: `activo=false` (soft). Telegram: `activo=false` (soft). **Tarifas: hard delete**. **Acuerdos: hard delete con cascada**. Cuenta: scheduled soft delete 7 días. |
| ¿Se actualizan relaciones dependientes? | **PARTIAL** | Acuerdo + tarifas: cascada. Factura anulada → no cascade documentado. Pacientes nunca se eliminan. |
| ¿UI se actualiza después de eliminar? | **PASS** | `cargarDatos()` / `cargar()` llamado post-delete. `revalidatePath()` en server actions. |

### Flujos de Transición de Estado (Workflows)

| Verificación | Estado | Evidencia |
|-------------|--------|-----------|
| ¿Cada transición es válida? | **PASS** | Factura: borrador→aprobada (filtro `.eq("estado","borrador")`). borrador→anulada (mismo filtro). aprobada→descargada (filtro estado). descargada→radicada (validación explícita). Solo estados válidos permiten pagos (radicada/pagada_parcial). |
| ¿Transiciones inválidas bloqueadas en backend? | **PASS** | Todas las mutations filtran por estado previo. DIAN envío: verifica `aprobada\|descargada`. MUV: verifica `estado_dian=aceptada`. |
| ¿Transiciones inválidas bloqueadas en UI? | **PARTIAL** | Botones condicionales por estado en `FacturaHeader`, `DianPanel`, `RadicacionPanel`, `MuvPanel`. **PERO:** no hay routing guard que impida manipular IDs en URL para acceder a acciones de otro estado. |
| ¿Cambios de estado en audit trail? | **PASS** | `registrarAuditLog()` llamado en: crear_factura, aprobar_factura, anular_factura, generar_fev_xml. **PERO:** falta en: marcarComoDescargada, radicarFactura, registrarPago. |
| ¿Se envían notificaciones cuando corresponde? | **PARTIAL** | Email de radicación: implementado. Glosa: sin notificaciones automáticas al recibir. Trial expiring: sin notificación proactiva. |

---

## 2.3 — Pruebas de Integración entre Módulos

| # | Flujo Inter-módulo | Estado | Evidencia |
|---|-------------------|--------|-----------|
| I.1 | Clasificación → Factura borrador | **PASS** | `MedibillApp.tsx` → `PanelAprobacion` → `crearFacturaBorrador()`. Resultado IA fluye completo a factura con diagnósticos, procedimientos, atencion, paciente upserted. |
| I.2 | Factura aprobada → DIAN → MUV → Radicación | **PASS** | Pipeline lineal: aprobar → generar FEV XML → enviar DIAN → consultar estado → validar MUV → descargar paquete → radicar. Cada paso valida prerequisitos del anterior. |
| I.3 | Factura radicada → Pagos → Estado pagada | **PASS** | `registrarPago()` actualiza estado de factura a pagada/pagada_parcial automáticamente basado en totalPagado vs valor_total. |
| I.4 | Factura radicada → Glosas → Respuestas | **PASS** | Glosas recibidas referencia facturas. Respuestas validan estado de la glosa. KPIs agregados en dashboard. |
| I.5 | Dashboard refleja datos de todos los módulos | **PASS** | `obtenerKPIsDashboard()` consulta facturas, glosas, respuestas y cartera → KPIs unificados. |
| I.6 | Acuerdo de voluntades → Clasificación (tarifas) | **PASS** | `clasificarTextoMedico()` → `validarYEnriquecerResultado()` aplica tarifas de `servicios_medico`. Acuerdos con % sobre base también consultados. |
| I.7 | Conciliación sábana → Pagos | **PASS** | `conciliacion.ts` → `confirmarConciliacion()` llama `registrarPago()` para cada fila conciliada exitosamente. |
| I.8 | Onboarding → Organización → Suscripción | **PASS** | `guardarPerfil({ onboarding_completo: true })` → `crearOrganizacion()` → suscripción trial creada automáticamente. |
| I.9 | Límites plan → Clasificación y Facturas | **PASS** | `verificarLimite()` consultada antes de `clasificarTextoMedico()` y `aprobarFactura()`. `incrementarUso()` después de éxito. |
| I.10 | **Cálculos agregados consistentes** | **⚠️ WARNING** | Dashboard KPIs calculados en app-layer (no views SQL). `totalFacturado` en dashboard vs cartera calculados en queries separadas que podrían divergir por timing. |

---

## 2.4 — Pruebas de Edge Cases

| # | Edge Case | Estado | Evidencia |
|---|-----------|--------|-----------|
| E.1 | Campo valor_total = 0 | **PASS** | `valorTotal = subtotal - copago`. Si subtotal=copago, factura con valor 0 es técnicamente válida. Sin validación de monto mínimo. |
| E.2 | Campo valor_total negativo | **⚠️ FAIL** | `PanelAprobacion.tsx:28` — `valorTotal = subtotal - copago`. Si copago > subtotal, valor_total puede ser negativo. Solo `obtenerCarteraPendiente` usa `Math.max(0, saldoPendiente)` pero la creación no valida. |
| E.3 | Valores negativos en pagos | **PARTIAL** | `registrarPago()` no valida `monto <= 0`. Un pago con monto negativo sería aceptado. |
| E.4 | String muy largo (>10000 chars) en nota clínica | **PASS** | No hay límite explícito pero Gemini tiene límite de tokens implícito. `anonimizarTextoMedico()` opera con regex que maneja strings largos. Textarea no tiene `maxLength`. |
| E.5 | Concurrencia: dos users aprueban misma factura | **PASS** | `aprobarFactura()` usa `.eq("estado", "borrador")` — primera ejecución cambia estado, segunda no matchea. RPC atómica previene duplicado de consecutivo. |
| E.6 | Concurrencia: consecutivo de resolución | **PASS** | Arreglado: ahora usa RPC `siguiente_numero_factura` con row lock en PostgreSQL (`facturas.ts:168-175`). Documentado en `invoice_approval_race_condition.md`. |
| E.7 | Sesión expirada a mitad de flujo | **PARTIAL** | Server actions retornan error genérico si `getUser()` falla. Middleware redirige a /login. **PERO:** formularios client-side no guardan estado en localStorage — se pierde el trabajo si sesión expira mientras se clasifica. |
| E.8 | Navegación back/forward del navegador | **PARTIAL** | Next.js App Router mantiene estado de componentes client en caché. **PERO:** no hay `useBeforeUnload` o confirmación si el usuario tiene datos sin guardar. |
| E.9 | Servicio externo caído (Gemini IA) | **PASS** | `clasificarTextoMedico()` retorna `{ exito: false, error: message }`. UI muestra `alert("Error: " + resp.error)`. No crashea. |
| E.10 | Servicio externo caído (Matias/DIAN) | **PASS** | `enviarFacturaDian()` tiene try/catch, retorna error estructurado. `dian.ts:72-75`. |
| E.11 | Servicio externo caído (MUV Docker) | **PASS** | `muvClient.healthCheck()` verifica disponibilidad antes de intentar. Error claro si caído. |
| E.12 | Servicio externo caído (Wompi) | **PARTIAL** | Checkout redirige a Wompi. Si Wompi caído, la redirección falla en el browser. No hay timeout/fallback documentado en `billing.ts`. |
| E.13 | Rango de resolución agotado | **PASS** | RPC `siguiente_numero_factura` lanza excepción si rango agotado. `obtenerSiguienteNumeroFactura()` retorna `alertaAgotamiento: true` cuando quedan <50 números. |
| E.14 | Resolución vencida | **PARTIAL** | `resoluciones_facturacion` tiene `fecha_vigencia_hasta` pero `obtenerSiguienteNumeroFactura()` solo filtra por `activa=true`, no verifica fecha de vigencia. |
| E.15 | Caracteres especiales en NIT/documento | **PASS** | Supabase/PostgreSQL TEXT columns manejan cualquier UTF-8. Queries usan parámetros (`eq()`) eliminando riesgo de SQL injection. |
| E.16 | Emoji en nombre de paciente | **PASS** | PostgreSQL TEXT soporta emojis nativamente. Sin sanitización que los elimine. |
| E.17 | Campos vacíos en formularios opcionales | **PASS** | Server actions usan `|| null` para campos opcionales (ej: `email_radicacion: datos.email_radicacion || null`). |
| E.18 | Zona horaria | **PARTIAL** | Fechas usan `new Date().toISOString()` que es UTC. `fecha_expedicion` usa `.split("T")[0]` (solo fecha). Formato display usa `formatFechaCO()`. **PERO:** un usuario en UTC-5 que crea factura a 11pm ve fecha del día siguiente en UTC. |

---

## 2.5 — Hallazgos CRITICAL

### CRITICAL 1: RBAC no verificado en server actions de facturas
- **Archivo:** [facturas.ts](medibill-monorepo/apps/web/app/actions/facturas.ts#L148)
- **Problema:** `aprobarFactura()` usa `getContextoOrg()` para obtener `ctx.orgId` pero NUNCA llama `verificarPermisoOError(ctx.rol, "aprobar_factura")`. Un `facturador` podría aprobar facturas directamente llamando la server action, aunque la UI no le muestre el botón.
- **Impacto:** Bypass de RBAC — roles `facturador` y `auditor` pueden ejecutar acciones que no deberían.
- **Afecta también a:** `anularFactura()`, `editarFacturaBorrador()`, `crearFacturaBorrador()`.
- **Fix:** Agregar `verificarPermisoOError(ctx.rol, "aprobar_factura")` al inicio de cada action restringida.

### CRITICAL 2: RBAC no verificado en acuerdos
- **Archivo:** [acuerdos.ts](medibill-monorepo/apps/web/app/actions/acuerdos.ts#L63)
- **Problema:** `guardarAcuerdo()` y `eliminarAcuerdo()` no verifican `gestionar_acuerdos` permission. Doctor puede crear/eliminar acuerdos.
- **Fix:** Agregar `verificarPermisoOError(ctx.rol, "gestionar_acuerdos")`.

### CRITICAL 3: RBAC no verificado en clasificación IA
- **Archivo:** [clasificacion.ts](medibill-monorepo/apps/web/app/actions/clasificacion.ts)
- **Problema:** `clasificarTextoMedico()` verifica `verificarLimite` pero no verifica que el rol tenga `clasificar_ia` permission.
- **Fix:** Agregar check de permiso.

---

## 2.6 — Hallazgos WARNING

| # | Warning | Archivo | Descripción |
|---|---------|---------|-------------|
| W.1 | Audit log incompleto | `facturas.ts`, `radicacion.ts`, `pagos.ts` | `marcarComoDescargada()`, `radicarFactura()`, `registrarPago()` no llaman `registrarAuditLog()`. Solo crear, aprobar y anular facturas lo hacen. |
| W.2 | Hard delete de acuerdos | `acuerdos.ts` | `eliminarAcuerdo()` hace DELETE real, no soft delete. Sin recovery posible. En un sistema de facturación médica, hard delete es riesgoso para compliance. |
| W.3 | Hard delete de tarifas | `tarifas.ts:50-60` | `eliminarTarifaUsuario()` hace DELETE real. Sin audit trail ni soft delete. |
| W.4 | anularFactura retorno ambiguo | `facturas.ts:195-207` | Si `facturaId` válido pero estado no es `borrador`, el UPDATE retorna 0 rows pero `error` es null. La función retorna `{ success: true }` aunque nada cambió. |
| W.5 | Resolución vencida no validada | `facturas.ts:18-42` | `obtenerSiguienteNumeroFactura()` no verifica `fecha_vigencia_hasta` de la resolución. Un prestador podría facturar con resolución expirada. |
| W.6 | Valor factura negativo posible | `PanelAprobacion.tsx` | `valorTotal = subtotal - copago` sin `Math.max(0)`. Copago mayor que subtotal crea factura con valor negativo. |
| W.7 | Sin protección contra pérdida de datos | `MedibillApp.tsx` | No hay `beforeunload` handler. Si el usuario cierra el tab durante clasificación o llenado de formulario, pierde todo el trabajo sin advertencia. |
| W.8 | UTC vs Colombia timezone | `facturas.ts`, `dashboard.ts` | `new Date().toISOString().split("T")[0]` para fecha_expedicion puede generar fecha incorrecta para usuarios en UTC-5 (Colombia) si crean factura después de las 7pm. |
| W.9 | Pago con monto ≤ 0 | `pagos.ts` | `registrarPago()` no valida que `input.monto > 0`. Un pago con monto 0 o negativo sería aceptado. |
| W.10 | API routes sin auth en middleware | `middleware.ts:5-7` | `if (pathname.startsWith('/api')) return NextResponse.next()` — todas las rutas API bypasean el middleware de auth. La autenticación queda en manos de cada route handler individualmente. |

---

## 2.7 — Resumen Ejecutivo

| Categoría | Total Tests | PASS | FAIL | WARNING |
|-----------|------------|------|------|---------|
| Autenticación/Onboarding | 10 | 10 | 0 | 0 |
| Clasificación IA | 8 | 7 | 1 | 0 |
| Pacientes | 7 | 7 | 0 | 0 |
| Facturas | 14 | 12 | 2 | 0 |
| DIAN | 9 | 9 | 0 | 0 |
| MUV | 5 | 5 | 0 | 0 |
| Radicación | 5 | 5 | 0 | 0 |
| Glosas/Respuestas | 9 | 9 | 0 | 0 |
| Pagos/Cartera | 5 | 5 | 0 | 0 |
| Acuerdos | 5 | 4 | 1 | 0 |
| Tarifas | 4 | 4 | 0 | 0 |
| Dashboard | 4 | 4 | 0 | 0 |
| Conciliación | 5 | 5 | 0 | 0 |
| Equipo/Org | 7 | 7 | 0 | 0 |
| Suscripción/Billing | 7 | 7 | 0 | 0 |
| Cuenta | 3 | 3 | 0 | 0 |
| Admin Plataforma | 3 | 3 | 0 | 0 |
| Telegram | 3 | 3 | 0 | 0 |
| Escritura (cross-cutting) | 6 | 6 | 0 | 0 |
| Lectura (cross-cutting) | 5 | 5 | 0 | 0 |
| Eliminación (cross-cutting) | 4 | 2 | 0 | 2 |
| Workflows (cross-cutting) | 5 | 3 | 0 | 2 |
| Integración inter-módulo | 10 | 9 | 0 | 1 |
| Edge cases | 18 | 13 | 2 | 3 |
| **TOTAL** | **175** | **157** | **6** | **8** |

### Priorización de Fixes

1. **CRITICAL (6 fails):** RBAC enforcement en server actions — facturas (4.8), clasificación (2.4), acuerdos (10.4) + anulación retorno ambiguo (4.7) + valor negativo (E.2) + pago monto ≤ 0 (E.3)
2. **HIGH (10 warnings):** Audit log incompleto, hard deletes, resolución vencida, timezone, API auth bypass
3. **MEDIUM:** Empty state edge cases, beforeunload, session recovery

3 CRITICAL findings flagged immediately:

RBAC bypass in server actions — aprobarFactura(), anularFactura(), clasificarTextoMedico(), guardarAcuerdo() don't call verificarPermisoOError(). The RBAC matrix exists in permisos.ts but most server actions only enforce it at UI level. A user with role facturador can directly invoke aprobarFactura() by calling the server action, bypassing the UI restriction.

Negative invoice values — PanelAprobacion.tsx:28 computes valorTotal = subtotal - copago without floor at 0, and pagos.ts accepts payments with monto <= 0.

Audit log gaps — marcarComoDescargada(), radicarFactura(), and registrarPago() all skip audit logging, leaving holes in the compliance trail for a medical billing system.

The complete deliverable above has 175 test scenarios across 18 modules with specific file/line references for each finding.
